"Name","PlayerID","Year","Tm","Age","G","winPct","pctGamesPlayed","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","TS","raptorO","raptorD","raptorPM","USG","Rank","First","Pts.Won","Pts.Max","Share","MVP"
"Gary Payton","paytoga01",1998,"SEA",29,82,0.74390243902439,1,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,0.19,54.4,5.5,1.1,6.5,24.6,3,3,431,1160,0.372,0
"Shaquille O'Neal","onealsh01",1998,"LAL",25,60,0.74390243902439,0.731707317073171,36.3,28.3,11.4,2.4,0.7,2.4,0.584,NA,0.527,10.2,0.224,58.7,2.9,1.5,4.4,32.9,4,1,311,1160,0.268,0
"Tim Duncan","duncati01",1998,"SAS",21,82,0.682926829268293,1,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192,57.7,1,2,3,26,5,0,148,1160,0.128,0
"Tim Hardaway","hardati01",1998,"MIA",31,81,0.670731707317073,0.98780487804878,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,11.7,0.185,53,5,0.6,5.7,25.6,6,0,71,1160,0.061,0
"David Robinson","robinda01",1998,"SAS",32,73,0.682926829268293,0.890243902439024,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8,0.269,58.1,2.2,4.7,6.9,29.7,7,0,36,1160,0.031,0
"Vin Baker","bakervi01",1998,"SEA",26,82,0.74390243902439,1,35.9,19.2,8,1.9,1.1,1,0.542,0.143,0.591,10.4,0.169,56.4,1.1,0.9,2,24.7,8,0,24,1160,0.021,0
"Grant Hill","hillgr01",1998,"DET",25,81,0.451219512195122,0.98780487804878,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.143,0.74,10.2,0.149,52,1.9,1.5,3.4,27.3,9,0,23,1160,0.02,0
"Scottie Pippen","pippesc01",1998,"CHI",32,44,0.75609756097561,0.536585365853659,37.5,19.1,5.2,5.8,1.8,1,0.447,0.318,0.777,6.6,0.193,53.3,3.9,2.4,6.3,24.4,10,0,14,1160,0.012,0
"Glen Rice","ricegl01",1998,"CHH",30,82,0.621951219512195,1,40.2,22.3,4.3,2.2,0.9,0.3,0.457,0.433,0.849,9.3,0.136,56.8,2.3,-1,1.2,25.1,11,0,7,1160,0.006,0
"Antoine Walker","walkean02",1998,"BOS",21,82,0.439024390243902,1,39.9,22.4,10.2,3.3,1.7,0.7,0.423,0.312,0.645,4.7,0.07,48.1,-0.9,0,-0.9,29.2,12,0,6,1160,0.005,0
"Jason Kidd","kiddja01",1998,"PHO",24,82,0.682926829268293,1,38,11.6,6.2,9.1,2,0.3,0.416,0.313,0.799,8,0.123,50.2,2.3,1.3,3.6,17.6,13,0,5,1160,0.004,0
"John Stockton","stockjo01",1998,"UTA",35,64,0.75609756097561,0.780487804878049,29,12,2.6,8.5,1.4,0.2,0.528,0.429,0.827,8,0.206,62.8,6.3,-0.2,6.2,19.3,13,0,5,1160,0.004,0
"Mitch Richmond","richmmi01",1998,"SAC",32,70,0.329268292682927,0.853658536585366,36.7,23.2,3.3,4,1.3,0.2,0.445,0.389,0.864,7.9,0.148,56.9,3.4,-1.1,2.3,27.8,15,0,3,1160,0.003,0
"Reggie Miller","millere01",1998,"IND",32,81,0.707317073170732,0.98780487804878,34.5,19.5,2.9,2.1,1,0.1,0.477,0.429,0.868,12,0.206,61.9,4.8,-0.4,4.4,23.9,16,0,2,1160,0.002,0
"Rik Smits","smitsri01",1997,"IND",31,73,0.475609756097561,0.890243902439024,28.6,16.7,6.9,1.4,0.5,1.2,0.495,0,0.783,6.1,0.141,53.5,-2,0.8,-1.2,29.1,16,0,2,1160,0.002,0
"Michael Finley","finlemi01",1998,"DAL",24,82,0.24390243902439,1,41.4,21.5,5.3,4.9,1.6,0.4,0.449,0.357,0.784,7.5,0.106,52.2,1.7,-0.4,1.3,25.7,18,0,1,1160,0.001,0
"Rod Strickland","stricro02",1998,"WAS",31,76,0.51219512195122,0.926829268292683,39.7,17.8,5.3,10.5,1.7,0.3,0.434,0.25,0.726,8.1,0.129,50.1,3.1,-0.2,2.9,23.7,18,0,1,1160,0.001,0
"Karl Malone","malonka01",1997,"UTA",33,82,0.780487804878049,1,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,0.268,60,5.9,1.1,7,32.7,1,63,986,1150,0.857,1
"Michael Jordan","jordami01",1997,"CHI",33,82,0.841463414634146,1,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283,56.7,7.1,1.7,8.8,33.2,2,52,957,1150,0.832,0
"Grant Hill","hillgr01",1997,"DET",24,80,0.658536585365854,0.975609756097561,39.3,21.4,9,7.3,1.8,0.6,0.496,0.303,0.711,14.6,0.223,55.6,4.5,2.2,6.7,28.3,3,0,376,1150,0.327,0
"Tim Hardaway","hardati01",1997,"MIA",30,81,0.74390243902439,0.98780487804878,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198,53.2,5.3,1.3,6.6,26.6,4,0,238,1150,0.207,0
"Glen Rice","ricegl01",1997,"CHH",29,79,0.658536585365854,0.963414634146341,42.6,26.8,4,2,0.9,0.3,0.477,0.47,0.867,10.8,0.154,60.5,3.9,-1.2,2.7,26.9,5,0,134,1150,0.117,0
"Gary Payton","paytoga01",1997,"SEA",28,82,0.695121951219512,1,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193,54.5,4.9,1.5,6.3,26.4,6,0,105,1150,0.091,0
"Hakeem Olajuwon","olajuha01",1997,"HOU",34,78,0.695121951219512,0.951219512195122,36.6,23.2,9.2,3,1.5,2.2,0.51,0.313,0.787,9.1,0.154,55.8,-0.9,3.4,2.5,30.4,7,0,95,1150,0.083,0
"Patrick Ewing","ewingpa01",1997,"NYK",34,78,0.695121951219512,0.951219512195122,37,22.4,10.7,2,0.9,2.4,0.488,0.222,0.754,9.8,0.163,54.8,-2.2,4.3,2.1,29.8,8,0,57,1150,0.05,0
"Anthony Mason","masonan01",1997,"CHH",30,73,0.658536585365854,0.890243902439024,43.1,16.2,11.4,5.7,1,0.5,0.525,0.333,0.745,11.4,0.173,58.5,2.6,0.1,2.8,17.6,9,0,7,1150,0.006,0
"Shaquille O'Neal","onealsh01",1997,"LAL",24,51,0.682926829268293,0.621951219512195,38.1,26.2,12.5,3.1,0.9,2.9,0.557,0,0.484,8,0.197,55.6,1.5,3,4.4,31.1,9,0,7,1150,0.006,0
"Scottie Pippen","pippesc01",1997,"CHI",31,82,0.841463414634146,1,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203,55.4,5.3,2.1,7.4,24.6,11,0,6,1150,0.005,0
"Alonzo Mourning","mournal01",1997,"MIA",26,66,0.74390243902439,0.804878048780488,35.2,19.8,9.9,1.6,0.8,2.9,0.534,0.111,0.642,8.4,0.174,57.8,-1.4,4,2.6,27.5,12,0,5,1150,0.004,0
"Dikembe Mutombo","mutomdi01",1997,"ATL",30,80,0.682926829268293,0.975609756097561,37.2,13.3,11.6,1.4,0.6,3.3,0.527,NA,0.705,11.3,0.183,58.4,-1.2,3.8,2.6,17.4,13,0,4,1150,0.003,0
"Mitch Richmond","richmmi01",1997,"SAC",31,81,0.414634146341463,0.98780487804878,38.6,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,10.8,0.166,57.8,4.1,-0.5,3.5,29.4,13,0,4,1150,0.003,0
"John Stockton","stockjo01",1997,"UTA",34,82,0.780487804878049,1,35.3,14.4,2.8,10.5,2,0.2,0.548,0.422,0.846,13.6,0.226,65.6,7,0.9,7.9,18.4,15,0,3,1150,0.003,0
"Charles Barkley","barklch01",1997,"HOU",33,53,0.695121951219512,0.646341463414634,37.9,19.2,13.5,4.7,1.3,0.5,0.484,0.283,0.694,9.4,0.224,58.1,4.3,1.5,5.8,23.2,16,0,2,1150,0.002,0
"Tom Gugliotta","guglito01",1997,"MIN",27,81,0.48780487804878,0.98780487804878,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,0.103,52.6,-0.3,0.8,0.4,27.5,17,0,1,1150,0.001,0
"Allen Iverson","iversal01",1997,"PHI",21,76,0.268292682926829,0.926829268292683,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065,51.3,1.7,-1,0.7,28.9,17,0,1,1150,0.001,0
"Kevin Johnson","johnske02",1997,"PHO",30,70,0.48780487804878,0.853658536585366,38,20.1,3.6,9.3,1.5,0.2,0.496,0.441,0.852,11.7,0.211,63.1,6.2,-0.8,5.4,22.6,17,0,1,1150,0.001,0
"Steve Smith","smithst01",1997,"ATL",27,72,0.682926829268293,0.878048780487805,39.1,20.1,3.3,4.2,0.9,0.3,0.429,0.335,0.847,9.1,0.154,54.8,3.3,-1.3,2.1,25,17,0,1,1150,0.001,0
"Michael Jordan","jordami01",1996,"CHI",32,82,0.878048780487805,1,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317,58.2,7.8,2.9,10.6,33.3,1,109,1114,1130,0.986,1
"David Robinson","robinda01",1996,"SAS",30,82,0.719512195121951,1,36.8,25,12.2,3,1.4,3.3,0.516,0.333,0.761,18.3,0.29,58.9,3.6,5.2,8.8,28.8,2,0,574,1130,0.508,0
"Anfernee Hardaway","hardaan01",1996,"ORL",24,82,0.731707317073171,1,36.8,21.7,4.3,7.1,2,0.5,0.513,0.314,0.767,14.4,0.229,60.5,6.5,1.1,7.6,25.5,3,2,360,1130,0.319,0
"Hakeem Olajuwon","olajuha01",1996,"HOU",33,72,0.585365853658537,0.878048780487805,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166,55.8,0.1,3.3,3.3,31.9,4,1,238,1130,0.211,0
"Scottie Pippen","pippesc01",1996,"CHI",30,77,0.878048780487805,0.939024390243902,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209,55.1,5.1,2.2,7.4,24.4,5,0,226,1130,0.2,0
"Gary Payton","paytoga01",1996,"SEA",27,81,0.780487804878049,0.98780487804878,39,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174,55.4,3.4,2.6,6,23.6,6,0,98,1130,0.087,0
"Karl Malone","malonka01",1996,"UTA",32,82,0.670731707317073,1,38,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233,57.5,4.2,2.1,6.3,29.8,7,1,85,1130,0.075,0
"Shawn Kemp","kempsh01",1996,"SEA",26,79,0.780487804878049,0.963414634146341,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205,63.1,1.1,1.6,2.7,26.2,8,0,73,1130,0.065,0
"Grant Hill","hillgr01",1996,"DET",23,80,0.560975609756098,0.975609756097561,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172,53.7,2.3,1.7,3.9,25.9,9,0,63,1130,0.056,0
"Shaquille O'Neal","onealsh01",1996,"ORL",23,54,0.731707317073171,0.658536585365854,36,26.6,11,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171,57,1.5,1.4,2.9,32.8,9,0,63,1130,0.056,0
"John Stockton","stockjo01",1996,"UTA",33,82,0.670731707317073,1,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13,0.214,64.2,7.4,0.3,7.6,18.7,11,0,12,1130,0.011,0
"Charles Barkley","barklch01",1996,"PHO",32,71,0.5,0.865853658536585,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,0.191,58.5,4,1.2,5.2,27.5,12,0,8,1130,0.007,0
"Magic Johnson","johnsma02",1996,"LAL",36,32,0.646341463414634,0.390243902439024,29.9,14.6,5.7,6.9,0.8,0.4,0.466,0.379,0.856,3.6,0.181,61.2,3.1,-1.4,1.6,22.7,12,0,8,1130,0.007,0
"Alonzo Mourning","mournal01",1996,"MIA",25,70,0.51219512195122,0.853658536585366,38.2,23.2,10.4,2.3,1,2.7,0.523,0.3,0.685,9.9,0.178,58.4,-0.4,3.4,3,28.1,14,0,6,1130,0.005,0
"Dennis Rodman","rodmade01",1996,"CHI",34,64,0.878048780487805,0.780487804878049,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143,50.1,0.1,1,1.1,10.3,15,0,4,1130,0.004,0
"Terrell Brandon","brandte01",1996,"CLE",25,75,0.573170731707317,0.914634146341463,34.3,19.3,3.3,6.5,1.8,0.4,0.465,0.387,0.887,12.7,0.237,57.3,5.5,1.2,6.7,27.6,16,0,3,1130,0.003,0
"Mitch Richmond","richmmi01",1996,"SAC",30,81,0.475609756097561,0.98780487804878,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,0.151,59.1,3.5,-0.3,3.2,26.9,16,0,3,1130,0.003,0
"David Robinson","robinda01",1995,"SAS",29,81,0.75609756097561,0.98780487804878,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273,60.2,3.3,5,8.3,29.9,1,73,901,1050,0.858,1
"Shaquille O'Neal","onealsh01",1995,"ORL",22,79,0.695121951219512,0.963414634146341,37,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,0.23,58.8,3.9,2,5.9,31.9,2,12,605,1050,0.576,0
"Karl Malone","malonka01",1995,"UTA",31,82,0.731707317073171,1,38.1,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,0.212,59,3.4,2.1,5.5,30.3,3,14,532,1050,0.507,0
"Patrick Ewing","ewingpa01",1995,"NYK",32,79,0.670731707317073,0.963414634146341,37,23.9,11,2.7,0.9,2,0.503,0.286,0.75,9.6,0.157,55.5,-1.6,3.6,1.9,30.7,4,2,230,1050,0.219,0
"Hakeem Olajuwon","olajuha01",1995,"HOU",32,72,0.573170731707317,0.878048780487805,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181,56.3,0.4,4.2,4.6,31.7,5,1,147,1050,0.14,0
"Charles Barkley","barklch01",1995,"PHO",31,68,0.719512195121951,0.829268292682927,35,23,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214,57.2,4.8,1.6,6.4,27.5,6,1,96,1050,0.091,0
"Scottie Pippen","pippesc01",1995,"CHI",29,79,0.573170731707317,0.963414634146341,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188,55.9,3.5,4.2,7.8,26.3,7,1,83,1050,0.079,0
"John Stockton","stockjo01",1995,"UTA",32,82,0.731707317073171,1,35,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233,65.1,8.1,1.7,9.8,18.9,8,1,47,1050,0.045,0
"Gary Payton","paytoga01",1995,"SEA",26,82,0.695121951219512,1,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187,56.4,4.9,1.2,6.1,24.4,9,0,34,1050,0.032,0
"Anfernee Hardaway","hardaan01",1995,"ORL",23,77,0.695121951219512,0.939024390243902,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177,59.9,5,-0.2,4.7,23.7,10,0,23,1050,0.022,0
"Michael Jordan","jordami01",1995,"CHI",31,17,0.573170731707317,0.207317073170732,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,0.167,49.3,2.1,1.7,3.8,33.2,11,0,12,1050,0.011,0
"Dennis Rodman","rodmade01",1995,"SAS",33,49,0.75609756097561,0.597560975609756,32,7.1,16.8,2,0.6,0.5,0.571,0,0.676,5.8,0.178,60.4,1,1.2,2.2,10.9,12,0,9,1050,0.009,0
"Jason Kidd","kiddja01",1995,"DAL",21,79,0.439024390243902,0.963414634146341,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066,47.1,1.5,0.9,2.3,19,13,0,7,1050,0.007,0
"Clyde Drexler","drexlcl01",1995,"HOU",32,76,0.573170731707317,0.926829268292683,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,0.206,55,5.4,1.1,6.5,27.2,14,0,3,1050,0.003,0
"Cedric Ceballos","cebalce01",1995,"LAL",25,58,0.585365853658537,0.707317073170732,35,21.7,8,1.8,1,0.3,0.509,0.397,0.716,5.2,0.123,57,1.8,-0.9,0.9,26.5,15,0,1,1050,0.001,0
"Hakeem Olajuwon","olajuha01",1994,"HOU",31,80,0.707317073170732,0.975609756097561,41,27.3,11.9,3.6,1.6,3.7,0.528,0.421,0.716,14.3,0.21,56.5,0.5,5.3,5.9,29.8,1,66,889,1010,0.88,1
"David Robinson","robinda01",1994,"SAS",28,80,0.670731707317073,0.975609756097561,40.5,29.8,10.7,4.8,1.7,3.3,0.507,0.345,0.749,20,0.296,57.7,4.9,4.7,9.5,32,2,24,730,1010,0.723,0
"Scottie Pippen","pippesc01",1994,"CHI",28,72,0.670731707317073,0.878048780487805,38.3,22,8.7,5.6,2.9,0.8,0.491,0.32,0.66,11.2,0.194,54.4,3.7,4.2,7.9,27.1,3,7,390,1010,0.386,0
"Shaquille O'Neal","onealsh01",1994,"ORL",21,81,0.609756097560976,0.98780487804878,39.8,29.3,13.2,2.4,0.9,2.9,0.599,0,0.554,16.9,0.252,60.5,4.3,2,6.2,29,4,3,289,1010,0.286,0
"Patrick Ewing","ewingpa01",1994,"NYK",31,79,0.695121951219512,0.963414634146341,37.6,24.5,11.2,2.3,1.1,2.7,0.496,0.286,0.765,13.1,0.211,55.1,-0.6,5.3,4.7,29.8,5,1,255,1010,0.252,0
"Gary Payton","paytoga01",1994,"SEA",25,82,0.768292682926829,1,35.1,16.5,3.3,6,2.3,0.2,0.504,0.278,0.595,9.3,0.155,52.6,2.2,1.3,3.6,21.6,6,0,20,1010,0.02,0
"Shawn Kemp","kempsh01",1994,"SEA",24,79,0.768292682926829,0.963414634146341,32.9,18.1,10.8,2.6,1.8,2.1,0.538,0.25,0.741,11.7,0.216,59.3,2.3,2.7,5,24.2,7,0,17,1010,0.017,0
"Karl Malone","malonka01",1994,"UTA",30,82,0.646341463414634,1,40.6,25.2,11.5,4,1.5,1.5,0.497,0.25,0.694,13.4,0.193,55,2.1,1.9,4,28,7,0,17,1010,0.017,0
"Mark Price","pricema01",1994,"CLE",29,76,0.573170731707317,0.926829268292683,31.4,17.3,3,7.8,1.4,0.1,0.478,0.397,0.888,10,0.201,58.6,6,-0.3,5.7,24.6,9,0,7,1010,0.007,0
"Charles Barkley","barklch01",1994,"PHO",30,65,0.682926829268293,0.792682926829268,35.4,21.6,11.2,4.6,1.6,0.6,0.495,0.27,0.704,8.8,0.185,56.3,3.6,0.8,4.4,26.5,10,0,5,1010,0.005,0
"Mookie Blaylock","blaylmo01",1994,"ATL",26,81,0.695121951219512,0.98780487804878,36,13.8,5.2,9.7,2.6,0.5,0.411,0.334,0.73,10.2,0.168,48.7,4.4,2.6,7.1,19.8,11,0,1,1010,0.001,0
"Kevin Johnson","johnske02",1994,"PHO",27,67,0.682926829268293,0.817073170731707,36.6,20,2.5,9.5,1.9,0.1,0.487,0.222,0.819,8.7,0.17,56.6,4.2,-0.6,3.5,24.3,11,0,1,1010,0.001,0
"Dennis Rodman","rodmade01",1994,"SAS",32,79,0.670731707317073,0.963414634146341,37.8,4.7,17.3,2.3,0.7,0.4,0.534,0.208,0.52,8.7,0.14,54.9,1,1.1,2,7.1,11,0,1,1010,0.001,0
"Latrell Sprewell","sprewla01",1994,"GSW",23,82,0.609756097560976,1,43.1,21,4.9,4.7,2.2,0.9,0.433,0.361,0.774,8,0.108,53.2,2,0.6,2.7,21.5,11,0,1,1010,0.001,0
"John Stockton","stockjo01",1994,"UTA",31,82,0.646341463414634,1,36.2,15.1,3.1,12.6,2.4,0.3,0.528,0.322,0.805,13.2,0.214,60.8,7.4,1.5,8.8,19.1,11,0,1,1010,0.001,0
"Dominique Wilkins","wilkido01",1994,"ATL",34,74,0.695121951219512,0.902439024390244,35.6,26,6.5,2.3,1.2,0.4,0.44,0.288,0.847,8.4,0.153,53.5,3.1,-1.1,2.1,31.9,11,0,1,1010,0.001,0
"Kevin Willis","willike02",1994,"ATL",31,80,0.695121951219512,0.975609756097561,35.8,19.1,12,1.9,1,0.5,0.499,0.375,0.713,10.2,0.17,53.8,0.8,0.2,1,24.1,11,0,1,1010,0.001,0
"Charles Barkley","barklch01",1993,"PHO",29,76,0.75609756097561,0.926829268292683,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242,59.6,5.6,1.6,7.2,26.9,1,59,835,980,0.852,1
"Hakeem Olajuwon","olajuha01",1993,"HOU",30,82,0.670731707317073,1,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234,57.7,1.9,5.8,7.7,28.8,2,22,647,980,0.66,0
"Michael Jordan","jordami01",1993,"CHI",29,78,0.695121951219512,0.951219512195122,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27,56.4,7.3,3,10.2,34.7,3,13,565,980,0.577,0
"Patrick Ewing","ewingpa01",1993,"NYK",30,81,0.731707317073171,0.98780487804878,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17,54.6,-2,5.2,3.2,29.7,4,4,359,980,0.366,0
"Dominique Wilkins","wilkido01",1993,"ATL",33,71,0.524390243902439,0.865853658536585,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191,57,5,-1.3,3.7,31.9,5,0,54,980,0.055,0
"David Robinson","robinda01",1993,"SAS",27,82,0.597560975609756,1,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197,56.9,1.3,4.2,5.5,26.4,6,0,33,980,0.034,0
"Shaquille O'Neal","onealsh01",1993,"ORL",20,81,0.5,0.98780487804878,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163,58.4,-0.1,3,2.9,27,7,0,30,980,0.031,0
"Karl Malone","malonka01",1993,"UTA",29,82,0.573170731707317,1,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238,61.2,4.2,1.3,5.5,28.4,8,0,10,980,0.01,0
"Mark Price","pricema01",1993,"CLE",28,75,0.658536585365854,0.914634146341463,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197,60.9,6.2,-0.7,5.5,24.5,8,0,10,980,0.01,0
"Brad Daugherty","daughbr01",1993,"CLE",27,71,0.658536585365854,0.865853658536585,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226,63.5,3,1.3,4.3,21.1,10,0,1,980,0.001,0
"Clyde Drexler","drexlcl01",1993,"POR",30,49,0.621951219512195,0.597560975609756,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,0.171,51.7,4.1,1.6,5.7,26.1,10,0,1,980,0.001,0
"Joe Dumars","dumarjo01",1993,"DET",29,77,0.48780487804878,0.939024390243902,40.2,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,0.141,55.5,3,-1.1,1.9,24.5,10,0,1,980,0.001,0
"Shawn Kemp","kempsh01",1993,"SEA",23,78,0.670731707317073,0.951219512195122,33.1,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,0.169,54.7,1.1,2.2,3.3,24.2,10,0,1,980,0.001,0
"John Stockton","stockjo01",1993,"UTA",30,82,0.573170731707317,1,34.9,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,0.177,58.4,6.3,1.2,7.5,19.9,10,0,1,980,0.001,0
"Michael Jordan","jordami01",1992,"CHI",28,80,0.817073170731707,0.975609756097561,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274,57.9,7.2,2.8,10,31.7,1,80,900,960,0.938,1
"Clyde Drexler","drexlcl01",1992,"POR",29,76,0.695121951219512,0.926829268292683,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223,56,6.2,1.5,7.8,28.7,2,12,561,960,0.584,0
"David Robinson","robinda01",1992,"SAS",26,68,0.573170731707317,0.829268292682927,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26,59.7,2.5,7.2,9.7,24.7,3,2,337,960,0.351,0
"Karl Malone","malonka01",1992,"UTA",28,81,0.670731707317073,0.98780487804878,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237,59.9,4,0.9,4.9,30.3,4,1,262,960,0.273,0
"Patrick Ewing","ewingpa01",1992,"NYK",29,82,0.621951219512195,1,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198,56.3,0,4.6,4.6,27.2,5,0,100,960,0.104,0
"Chris Mullin","mullich01",1992,"GSW",28,81,0.670731707317073,0.98780487804878,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155,58.6,3.4,0.7,4.1,23.6,6,0,81,960,0.084,0
"Mark Price","pricema01",1992,"CLE",27,72,0.695121951219512,0.878048780487805,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205,61,6.9,-0.6,6.3,24.1,7,0,66,960,0.069,0
"Tim Hardaway","hardati01",1992,"GSW",25,81,0.670731707317073,0.98780487804878,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132,53.7,4.8,-0.6,4.3,24.4,8,0,64,960,0.067,0
"Scottie Pippen","pippesc01",1992,"CHI",26,82,0.817073170731707,1,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192,55.5,4.6,2.3,6.9,24.6,9,1,32,960,0.033,0
"Dennis Rodman","rodmade01",1992,"DET",30,82,0.585365853658537,1,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183,57.4,2.4,2.3,4.7,11.1,10,0,26,960,0.027,0
"Brad Daugherty","daughbr01",1992,"CLE",26,73,0.695121951219512,0.890243902439024,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213,62.9,3,0.8,3.8,23.6,11,0,24,960,0.025,0
"Charles Barkley","barklch01",1992,"PHI",28,75,0.426829268292683,0.914634146341463,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205,61.2,5.1,1,6.1,25.1,12,0,18,960,0.019,0
"John Stockton","stockjo01",1992,"UTA",29,82,0.670731707317073,1,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,0.215,59,7.8,2.5,10.3,19.9,12,0,18,960,0.019,0
"Larry Bird","birdla01",1992,"BOS",35,45,0.621951219512195,0.548780487804878,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159,54.7,3.3,0.6,3.9,24.7,14,0,3,960,0.003,0
"Kevin Johnson","johnske02",1992,"PHO",25,78,0.646341463414634,0.951219512195122,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,0.165,56.1,4.6,-0.5,4.1,23.6,15,0,2,960,0.002,0
"Danny Manning","mannida01",1992,"LAC",25,82,0.548780487804878,1,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0,0.725,9.8,0.162,57.7,1.6,1.4,3,23.1,16,0,1,960,0.001,0
"Detlef Schrempf","schrede01",1992,"IND",29,80,0.48780487804878,0.975609756097561,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181,61.7,2.8,-0.6,2.2,21.1,16,0,1,960,0.001,0
"Michael Jordan","jordami01",1991,"CHI",27,82,0.74390243902439,1,37,31.5,6,5.5,2.7,1,0.539,0.312,0.851,20.3,0.321,60.5,8.8,3.1,12,32.9,1,77,891,960,0.928,1
