"Name","PlayerID","Year","Rank","MVP","First","Pts.Won","Pts.Max","Share","Age","Tm","G","winPct","pctGamesPlayed","MP","PTS","TRB","AST","STL","BLK","FG.","X3P.","FT.","WS","WS.48","TS","raptorO","raptorD","raptorPM","raptorWAR","USG"
"Russell Westbrook","westbru01",2018,5,0,0,76,1010,0.075,29,"OKC",80,0.585365853658537,0.975609756097561,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,52.4,4.9,0.3,5.1,12.03,34.1
"Giannis Antetokounmpo","antetgi01",2018,6,0,0,75,1010,0.074,23,"MIL",75,0.536585365853659,0.914634146341463,36.7,26.9,10,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,59.8,3.2,2.5,5.6,11.79,31.2
"Kevin Durant","duranke01",2018,7,0,0,66,1010,0.065,29,"GSW",68,0.707317073170732,0.829268292682927,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,64,5.6,-1.3,4.2,8.36,30.4
"DeMar DeRozan","derozde01",2018,8,0,0,32,1010,0.032,28,"TOR",80,0.719512195121951,0.975609756097561,33.9,23,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,55.5,3.9,-1.6,2.3,7.01,29.6
"LaMarcus Aldridge","aldrila01",2018,9,0,0,6,1010,0.006,32,"SAS",75,0.573170731707317,0.914634146341463,33.5,23.1,8.5,2,0.6,1.2,0.51,0.293,0.837,10.9,0.209,57,2.6,1.5,4.1,8.58,29.1
"Jimmy Butler","butleji01",2018,10,0,0,5,1010,0.005,28,"MIN",59,0.573170731707317,0.719512195121951,36.7,22.2,5.3,4.9,2,0.4,0.474,0.35,0.854,8.9,0.198,59,5.5,2.3,7.8,11.5,24.9
"Stephen Curry","curryst01",2018,10,0,0,5,1010,0.005,29,"GSW",51,0.707317073170732,0.621951219512195,32,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,67.5,9.2,-1.7,7.5,8.77,31
"Joel Embiid","embiijo01",2018,12,0,0,4,1010,0.004,23,"PHI",63,0.634146341463415,0.768292682926829,30.3,22.9,11,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,57.3,0.5,3.4,4,6.6,33.4
"Victor Oladipo","oladivi01",2018,13,0,0,2,1010,0.002,25,"IND",75,0.585365853658537,0.914634146341463,34,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,57.7,3.3,3.5,6.9,12.69,30.1
"James Harden","hardeja01",2017,2,0,22,753,1010,0.746,27,"HOU",81,0.670731707317073,0.98780487804878,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15,0.245,61.3,7.9,-0.8,7.1,15.2,34.2
"Kawhi Leonard","leonaka01",2017,3,0,9,500,1010,0.495,25,"SAS",74,0.74390243902439,0.902439024390244,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,61,6.6,1.7,8.3,13.91,31.1
"LeBron James","jamesle01",2017,4,0,1,333,1010,0.33,32,"CLE",74,0.621951219512195,0.902439024390244,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,61.9,6.2,0.4,6.6,13.42,30
"Isaiah Thomas","thomais02",2017,5,0,0,81,1010,0.08,27,"BOS",76,0.646341463414634,0.926829268292683,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,62.5,8.3,-3.6,4.7,9.83,34
"Stephen Curry","curryst01",2017,6,0,0,52,1010,0.051,28,"GSW",79,0.817073170731707,0.963414634146341,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,62.4,8.7,-0.2,8.4,15.62,30.1
"Giannis Antetokounmpo","antetgi01",2017,7,0,0,7,1010,0.007,22,"MIL",80,0.51219512195122,0.975609756097561,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,59.9,2.7,2.4,5.1,11.32,28.3
"John Wall","walljo01",2017,7,0,0,7,1010,0.007,26,"WAS",78,0.597560975609756,0.951219512195122,36.4,23.1,4.2,10.7,2,0.6,0.451,0.327,0.801,8.8,0.149,54.1,4.4,-0.9,3.6,9.3,30.6
"Anthony Davis","davisan02",2017,9,0,0,2,1010,0.002,23,"NOP",75,0.414634146341463,0.914634146341463,36.1,28,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11,0.195,58,0.6,4.4,5,10.81,32.6
"Kevin Durant","duranke01",2017,9,0,0,2,1010,0.002,28,"GSW",62,0.817073170731707,0.75609756097561,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12,0.278,65.1,5.2,1.7,6.9,10.26,27.8
